13
2 3
0 1 10
0 1 20
0 0 30
4 5
0 1 1
3 1 2
1 2 3
2 3 4
0 2 5
3 2
1 0 100
2 0 115
7 9
0 1 50
0 2 60
1 3 120
1 4 90
2 5 50
3 5 80
3 6 70
4 6 40
5 6 140
4 8
0 1 50
0 2 60
1 1 20
1 2 59
1 2 65
1 3 60
2 3 62
3 0 45
2 6
0 0 10
0 0 30
0 1 20
0 0 10
0 0 20
0 0 30

5 3
1 2 4
2 3 7
1 3 1

100 10
5 6 99
7 10 1
68 1 66
9 11 13
8 5 14
7 19 17
13 19 5
18 28 32
32 6 54
1 9 11
2 3
0 1 30
0 0 10
1 1 20
5 7
0 1 100
1 2 115
2 3 99
3 4 77
4 2 32
0 3 85
2 4 52
10 20
0 2 14
0 1 50
3 4 34
5 7 68
4 8 31
9 8 1
8 4 3
0 0 12
1 1 64
9 9 47
9 7 17
6 7 2
4 9 49
2 2 7
3 2 11
4 5 97
6 8 84
2 8 71
7 2 32
7 7 841
7 11
0 1 7
0 3 5
1 2 8
1 3 9
1 4 7
2 4 5
3 4 15
3 5 6
4 5 8
4 6 9
5 6 11
100	10000	
13	40	899
74	80	145
85	69	345
11	88	477
86	30	485
22	60	803
84	11	936
25	63	94
21	22	528
90	39	289
95	42	154
41	40	273
41	71	483
64	93	841
50	10	672
51	3	300
42	12	940
61	34	796
85	68	250
73	76	820
25	94	178
46	58	631
77	60	627
40	84	97
51	63	942
19	64	64
18	66	191
96	72	887
38	11	849
0	39	496
4	81	302
14	59	309
67	51	399
60	34	961
0	94	536
54	64	302
70	24	652
84	44	127
5	37	392
26	26	378
45	77	575
25	85	195
26	60	859
96	2	557
55	37	853
26	24	297
77	5	989
5	71	506
51	91	145
32	3	249
32	48	612
10	71	247
86	92	432
14	77	562
44	55	239
88	36	750
65	59	796
63	49	380
99	65	847
84	50	69
46	52	222
68	1	999
18	72	856
60	25	469
30	11	181
16	36	419
95	59	280
91	27	114
58	64	745
42	57	366
49	1	5
42	29	958
58	93	383
75	65	169
84	97	838
49	74	671
31	61	743
57	54	199
46	31	333
39	46	688
86	89	617
14	3	658
46	93	942
59	55	228
4	81	595
52	33	876
41	32	648
11	24	288
90	6	878
93	67	106
31	70	455
33	67	98
85	67	390
54	49	475
3	5	49
65	11	825
0	58	199
87	9	666
6	8	767
42	17	940
87	45	876
92	41	365
25	12	67
94	68	714
41	44	830
96	90	555
80	82	509
78	76	888
16	47	800
55	80	470
71	26	974
52	36	682
77	56	575
63	18	877
87	45	665
57	62	450
25	88	725
38	6	451
22	81	601
12	37	53
39	89	752
32	27	23
62	37	738
66	51	343
37	98	431
1	83	495
53	22	578
76	76	952
59	48	589
45	89	501
97	78	953
49	37	540
82	70	635
37	28	954
2	46	285
49	27	320
45	56	297
40	10	30
8	37	582
81	35	947
29	60	156
12	37	644
27	26	650
73	43	348
37	72	419
46	64	866
56	65	996
14	55	54
96	8	859
43	48	350
8	23	26
20	25	455
77	41	476
82	14	183
60	47	228
32	24	311
80	92	435
93	84	289
89	32	439
99	67	237
33	61	146
71	4	608
69	57	5
29	20	558
37	37	14
3	63	194
18	14	868
62	41	338
23	76	973
23	31	252
41	59	112
1	15	139
93	81	104
77	45	458
79	97	165
59	34	736
1	40	648
78	5	715
58	16	520
90	39	394
4	34	560
32	81	891
51	40	820
65	58	541
96	33	179
63	39	775
67	39	64
96	38	130
38	65	976
38	72	551
32	33	363
